==>Arguments:
arch:alexnet
checkpoint:./checkpoints/
datapath:./data/
dataset:cifar10
epochs:150
evaluate:False
gamma:0.1
gpu_id:1
lr:0.1
momentum:0.9
resume:./checkpoints/
schedule:[50, 90, 130]
train_batchsize:64
val_batchsize:16
weight_decay:0.0001
==>Training log:
Learning Rate	Train Loss	Valid Loss	Train Acc	Valid Acc	
0.100000	2.116070	1.964628	17.468000	21.510000	
0.100000	2.027696	1.903417	21.444000	29.160000	
0.100000	1.993044	1.836379	24.507999	29.379999	
0.100000	1.960311	1.797559	25.699999	30.879999	
0.100000	1.945638	1.774482	27.000000	33.719997	
0.010000	1.755517	1.498713	34.545998	44.149998	
0.010000	1.675469	1.482041	37.955997	45.070000	
0.010000	1.640952	1.408808	39.596001	48.099998	
0.010000	1.607144	1.443751	41.323997	48.209999	
0.010000	1.569859	1.315852	42.958000	52.829998	
0.010000	1.544434	1.288689	44.326000	53.730000	
0.010000	1.515263	1.267813	45.638000	54.699997	
0.010000	1.496717	1.318259	46.285999	53.329998	
0.010000	1.473547	1.209281	47.708000	58.059998	
0.010000	1.442580	1.187953	48.688000	57.579998	
0.010000	1.430811	1.156423	49.273998	59.869999	
0.010000	1.405837	1.160766	49.795998	59.029999	
0.010000	1.396134	1.102892	50.618000	61.399998	
0.010000	1.374836	1.176641	51.643997	58.899998	
0.010000	1.358872	1.145608	52.160000	59.509998	
0.010000	1.345785	1.174166	52.515999	59.639999	
0.010000	1.335460	1.158942	53.031998	60.209999	
0.010000	1.327311	1.134444	53.284000	61.189999	
0.010000	1.308607	1.047275	54.183998	64.389999	
0.010000	1.295704	1.023165	54.639999	64.519997	
0.010000	1.284793	1.038655	55.028000	64.220001	
0.010000	1.284380	1.033113	55.113998	64.479996	
0.010000	1.273645	1.033399	55.646000	65.029999	
0.010000	1.269570	0.979289	55.755997	66.150002	
0.010000	1.261333	1.049050	55.840000	64.010002	
0.010000	1.257932	1.006273	56.149998	65.529999	
0.010000	1.243517	0.981950	56.337997	66.449997	
0.010000	1.243502	0.979498	56.725998	66.459999	
0.010000	1.230676	0.997557	56.944000	65.959999	
0.010000	1.233986	1.008895	56.865997	66.279999	
0.010000	1.221215	0.951638	57.595997	67.809998	
0.010000	1.216277	0.967779	57.501999	67.129997	
0.010000	1.205060	0.952629	57.997997	67.519997	
0.010000	1.205686	0.991177	57.759998	66.209999	
0.010000	1.200868	0.994820	58.169998	65.540001	
0.010000	1.200707	0.949029	58.155998	68.150002	
0.010000	1.195444	0.942274	58.543999	68.269997	
0.010000	1.192465	0.937659	58.619999	68.089996	
0.010000	1.183868	0.908142	58.911999	69.239998	
0.010000	1.171596	0.981344	58.903999	66.209999	
0.010000	1.189325	0.902338	58.590000	69.159996	
0.010000	1.181966	0.926863	58.806000	68.570000	
0.010000	1.174127	0.882925	59.049999	70.110001	
0.010000	1.161105	0.937795	59.897999	68.320000	
0.010000	1.172254	0.908429	59.243999	69.070000	
0.001000	1.048238	0.799944	63.531998	72.860001	
0.001000	1.021191	0.790169	64.540001	73.269997	
0.001000	1.010902	0.774008	64.867996	73.900002	
0.001000	0.995615	0.765286	65.423996	74.049995	
0.001000	0.993807	0.750943	65.453995	74.430000	
0.001000	0.984955	0.766398	65.865997	74.040001	
0.001000	0.984756	0.740469	65.973999	74.820000	
0.001000	0.982549	0.746795	65.970001	74.860001	
0.001000	0.961822	0.739795	66.540001	75.009995	
0.001000	0.970291	0.741090	66.285995	75.239998	
0.001000	0.977011	0.739660	65.818001	75.159996	
0.001000	0.968960	0.738869	66.470001	75.040001	
0.001000	0.964684	0.754140	66.515999	74.619995	
0.001000	0.959686	0.720577	66.589996	75.570000	
0.001000	0.958721	0.743359	66.715996	74.639999	
0.001000	0.960749	0.739378	66.664001	75.009995	
0.001000	0.951876	0.754423	66.921997	74.930000	
0.001000	0.948562	0.732440	67.089996	75.209999	
0.001000	0.955826	0.724277	66.851997	75.509995	
0.001000	0.949575	0.745534	66.993996	74.839996	
0.001000	0.946769	0.719287	67.136002	75.669998	
0.001000	0.949446	0.718347	66.891998	75.629997	
0.001000	0.946922	0.751061	67.085999	74.290001	
0.001000	0.936651	0.726443	67.517998	75.500000	
0.001000	0.943029	0.723427	67.297997	75.470001	
0.000100	0.916902	0.702425	68.278000	76.150002	
0.000100	0.913855	0.700172	68.251999	76.339996	
0.000100	0.912862	0.693901	68.591995	76.589996	
0.000100	0.915107	0.695956	68.199997	76.379997	
0.000100	0.905693	0.697399	68.661995	76.239998	
0.000100	0.910276	0.695621	68.447998	76.379997	
0.000100	0.902450	0.692664	68.727997	76.759995	
0.000100	0.902138	0.691371	68.820000	76.680000	
0.000100	0.900469	0.695534	68.599998	76.619995	
0.000100	0.902892	0.695612	68.706001	76.650002	
