==>Arguments:
arch:resnet
checkpoint:./checkpoints/
datapath:./data/
dataset:cifar10
epochs:150
evaluate:False
gamma:0.1
gpu_id:1
lr:0.1
momentum:0.9
resume:./checkpoints/
schedule:[50, 90, 130]
train_batchsize:64
val_batchsize:16
weight_decay:0.0001
==>Training log:
Learning Rate	Train Loss	Valid Loss	Train Acc	Valid Acc	
0.100000	1.909624	1.613856	30.816000	43.250000	
0.100000	1.652797	1.369350	39.624001	50.959999	
0.100000	1.525989	1.316663	44.924000	53.509998	
0.100000	1.447652	1.167928	48.147999	58.859997	
0.100000	1.394549	1.186959	50.152000	59.649998	
0.100000	1.345641	1.039721	51.989998	63.029999	
0.100000	1.307727	1.014177	53.227997	64.889999	
0.100000	1.277972	0.989362	54.781998	65.409996	
0.100000	1.261968	0.962409	55.341999	65.949997	
0.100000	1.235631	0.987476	56.301998	65.360001	
0.100000	1.225849	0.916255	56.778000	68.470001	
0.100000	1.209904	0.950143	57.531998	67.610001	
0.100000	1.191982	0.932394	58.042000	67.610001	
0.100000	1.181502	0.905945	58.326000	69.419998	
0.100000	1.169336	0.924406	58.809998	68.059998	
0.100000	1.152618	0.869310	59.556000	69.849998	
0.100000	1.150239	0.866279	59.667999	69.669998	
0.100000	1.138584	0.910175	59.991997	68.949997	
0.100000	1.134380	0.897346	60.099998	69.369995	
0.100000	1.128496	0.875569	60.383999	69.939995	
0.100000	1.130416	0.837738	60.259998	70.959999	
0.100000	1.117869	0.831709	60.947998	70.699997	
0.100000	1.108637	0.810173	61.129997	72.009995	
0.100000	1.109107	0.803418	61.219997	72.439995	
0.100000	1.106443	0.791524	61.259998	72.720001	
0.100000	1.094604	0.819754	61.799999	72.299995	
0.100000	1.092812	0.850619	61.857998	71.299995	
0.100000	1.095532	0.893569	61.533997	70.239998	
0.100000	1.075932	0.824738	62.219997	72.360001	
0.100000	1.089143	0.835768	61.799999	71.559998	
0.100000	1.078010	0.790990	62.321999	73.229996	
0.100000	1.082580	0.831129	62.175999	72.009995	
0.100000	1.069000	0.813103	62.604000	72.229996	
0.100000	1.074909	0.759177	62.345997	73.959999	
0.100000	1.070710	0.802696	62.515999	72.549995	
0.100000	1.063674	0.818757	62.793999	72.500000	
0.100000	1.059300	0.781911	62.882000	73.029999	
0.100000	1.062489	0.799961	62.903999	72.559998	
0.100000	1.059227	0.864358	63.015999	70.759995	
0.100000	1.066465	0.799968	62.643997	72.540001	
0.100000	1.060321	0.810441	62.849998	72.400002	
0.100000	1.052323	0.841469	63.326000	71.229996	
0.100000	1.060215	0.843923	63.121998	71.299995	
0.100000	1.042038	0.836776	63.323997	70.779999	
0.100000	1.049125	0.763190	63.466000	74.339996	
0.100000	1.047206	0.763041	63.431999	74.250000	
0.100000	1.038584	0.767357	63.557999	74.080002	
0.100000	1.047952	0.822405	63.472000	71.839996	
0.100000	1.043303	0.778813	63.551998	73.680000	
0.100000	1.046672	0.830191	63.379997	72.119995	
0.010000	0.897317	0.643550	68.573997	78.070000	
0.010000	0.846402	0.619661	70.431999	78.879997	
0.010000	0.832476	0.633342	71.045998	78.989998	
0.010000	0.823986	0.592913	71.321999	79.919998	
0.010000	0.814034	0.610186	71.589996	79.079994	
0.010000	0.801192	0.606487	71.972000	79.769997	
0.010000	0.796327	0.610288	72.133995	79.650002	
0.010000	0.796208	0.604547	72.302002	79.650002	
0.010000	0.793157	0.601746	72.323997	79.820000	
0.010000	0.789601	0.590642	72.223999	80.089996	
0.010000	0.774315	0.591943	73.037994	80.449997	
0.010000	0.776117	0.600493	72.855995	79.959999	
0.010000	0.769427	0.575748	73.005997	80.599998	
0.010000	0.769826	0.591387	72.790001	80.540001	
0.010000	0.759512	0.601488	73.463997	79.860001	
0.010000	0.760244	0.578716	73.571999	80.680000	
0.010000	0.755627	0.576751	73.278000	80.579994	
0.010000	0.760305	0.585289	73.293999	80.750000	
0.010000	0.750815	0.586935	73.736000	80.879997	
0.010000	0.745180	0.575095	73.681999	80.790001	
0.010000	0.746441	0.587355	73.767998	80.779999	
0.010000	0.746348	0.583666	73.821999	80.750000	
0.010000	0.740232	0.577370	74.208000	80.919998	
0.010000	0.742027	0.587310	74.103996	80.909996	
0.010000	0.732735	0.586320	74.150002	80.639999	
0.010000	0.738687	0.593017	74.019997	80.619995	
0.010000	0.733591	0.588461	74.349998	80.919998	
0.010000	0.726965	0.594301	74.465996	80.809998	
