==>Arguments:
arch:vgg
checkpoint:./checkpoints/
datapath:./data/
dataset:cifar10
epochs:150
evaluate:False
gamma:0.1
gpu_id:0
lr:0.1
momentum:0.9
resume:./checkpoints/
schedule:[50, 90, 130]
train_batchsize:64
val_batchsize:16
weight_decay:0.0001
==>Training log:
Learning Rate	Train Loss	Valid Loss	Train Acc	Valid Acc	
0.100000	2.149799	1.971598	17.622000	20.539999	
0.100000	1.998714	1.864846	21.084000	27.039999	
0.100000	1.907535	1.745689	26.233999	29.889999	
0.100000	1.825844	1.711202	30.386000	32.549999	
0.100000	1.765141	1.671302	33.781998	41.680000	
0.100000	1.711181	1.425742	36.893997	47.480000	
0.100000	1.652756	1.355822	40.124001	50.459999	
0.100000	1.586523	1.607950	42.813999	45.329998	
0.100000	1.529304	1.302369	45.625999	54.139999	
0.100000	1.481406	1.469099	47.747997	53.410000	
0.100000	1.444709	1.293505	49.441998	55.410000	
0.100000	1.403772	1.363165	51.062000	55.189999	
0.100000	1.389767	1.336830	51.893997	56.049999	
0.100000	1.350374	1.057196	53.548000	63.529999	
0.100000	1.331283	1.147065	54.309998	62.930000	
0.100000	1.320394	0.900779	54.681999	70.320000	
0.100000	1.291393	1.164525	55.820000	63.239998	
0.100000	1.287017	1.132382	56.125999	64.510002	
0.100000	1.276908	0.983877	56.669998	68.049995	
0.100000	1.252919	0.965457	57.590000	68.689995	
0.100000	1.250145	1.046925	57.798000	66.739998	
0.100000	1.232698	0.882282	58.419998	71.900002	
0.100000	1.224332	0.844431	58.938000	72.449997	
0.100000	1.221650	0.909261	58.973999	70.599998	
0.100000	1.215512	0.897111	59.581997	70.559998	
0.100000	1.207769	1.013277	59.455997	69.979996	
0.100000	1.198990	0.866829	60.195999	72.349998	
0.100000	1.201690	0.851873	59.869999	71.040001	
0.100000	1.172902	0.818336	60.862000	73.580002	
0.100000	1.177139	0.947949	60.921997	70.169998	
0.100000	1.166018	0.755871	61.203999	75.029999	
0.100000	1.167531	0.871942	61.312000	72.979996	
0.100000	1.163460	0.894750	61.188000	72.349998	
0.100000	1.151324	1.117962	61.792000	67.509995	
0.100000	1.150173	0.827407	61.709999	72.229996	
0.100000	1.142295	0.832993	62.056000	75.000000	
0.100000	1.131652	0.848309	62.595997	73.610001	
0.100000	1.139737	0.838378	62.410000	74.000000	
0.100000	1.138398	0.846308	62.160000	73.209999	
0.100000	1.129299	1.033365	62.517998	68.009995	
0.100000	1.121022	0.841878	62.565998	73.029999	
0.100000	1.117030	0.785663	62.885998	74.989998	
0.100000	1.122830	0.711273	63.001999	76.250000	
0.100000	1.117538	0.841001	62.859997	74.299995	
0.100000	1.109639	0.876423	62.877998	72.129997	
0.100000	1.109017	0.707911	63.133999	76.739998	
0.100000	1.106479	0.759347	63.475998	75.220001	
0.100000	1.104467	0.713606	63.807999	77.479996	
0.100000	1.095433	0.707263	63.799999	78.080002	
0.100000	1.092789	0.719761	63.851997	76.989998	
0.010000	0.902356	0.525441	69.664001	82.829994	
0.010000	0.828210	0.497404	72.087997	83.790001	
0.010000	0.809266	0.509097	72.837997	83.320000	
0.010000	0.790826	0.494444	73.453995	83.829994	
0.010000	0.783338	0.472767	73.701996	84.040001	
0.010000	0.767363	0.469614	74.152000	84.379997	
0.010000	0.754405	0.458252	74.313995	84.820000	
0.010000	0.751996	0.468961	74.661995	84.589996	
0.010000	0.747997	0.469527	74.813995	84.250000	
0.010000	0.737474	0.456080	75.117996	84.629997	
0.010000	0.739619	0.448096	75.175995	85.290001	
0.010000	0.729131	0.462654	75.514000	84.820000	
0.010000	0.719580	0.453167	75.505997	84.519997	
0.010000	0.715424	0.449637	75.893997	84.949997	
0.010000	0.710167	0.444520	76.075996	84.939995	
0.010000	0.705592	0.460788	76.173996	84.790001	
0.010000	0.696747	0.436962	76.416000	85.320000	
0.010000	0.698804	0.432954	76.433998	85.639999	
0.010000	0.699041	0.441851	76.391998	85.519997	
0.010000	0.686794	0.441664	76.914001	85.220001	
0.010000	0.684595	0.445357	76.944000	85.559998	
0.010000	0.676789	0.446462	76.956001	84.889999	
0.010000	0.679383	0.438960	77.005997	85.169998	
0.010000	0.672163	0.435976	77.375999	85.720001	
0.010000	0.661146	0.441566	77.869995	85.629997	
0.010000	0.673177	0.442088	77.271996	85.659996	
0.010000	0.663667	0.422571	77.582001	85.779999	
0.010000	0.666889	0.446574	77.400002	85.579994	
0.010000	0.664125	0.447307	77.625999	85.309998	
0.010000	0.656909	0.460275	78.003998	85.070000	
0.010000	0.656170	0.423884	77.713997	85.860001	
0.010000	0.654242	0.418309	77.879997	86.430000	
0.010000	0.649969	0.441611	78.096001	85.769997	
0.010000	0.641786	0.422172	78.463997	85.900002	
0.010000	0.646202	0.426666	78.239998	86.059998	
0.010000	0.645540	0.426650	78.085999	85.860001	
0.010000	0.639881	0.432541	78.351997	85.959999	
0.010000	0.639535	0.453338	78.227997	85.220001	
0.010000	0.626968	0.463979	78.823997	84.979996	
0.010000	0.632994	0.426621	78.568001	86.110001	
0.001000	0.595013	0.404183	79.781998	87.349998	
0.001000	0.581759	0.399239	80.353996	87.199997	
0.001000	0.570244	0.398784	80.739998	87.269997	
0.001000	0.565879	0.411714	80.694000	87.070000	
0.001000	0.554419	0.405471	81.159996	87.500000	
0.001000	0.557508	0.400748	81.189995	87.339996	
0.001000	0.551860	0.414457	81.129997	87.139999	
0.001000	0.550261	0.409300	81.484001	87.259995	
0.001000	0.551358	0.397862	81.419998	87.309998	
0.001000	0.542016	0.413950	81.535995	86.900002	
0.001000	0.543392	0.417859	81.549995	87.110001	
0.001000	0.543867	0.410453	81.723999	87.250000	
0.001000	0.533723	0.417741	81.804001	87.049995	
0.001000	0.541575	0.410276	81.605995	87.209999	
0.001000	0.530482	0.410789	81.991997	87.040001	
0.001000	0.531877	0.408468	81.903999	87.329994	
0.001000	0.539174	0.405875	81.853996	87.269997	
0.001000	0.534502	0.404172	81.776001	87.180000	
0.001000	0.534550	0.403980	81.947998	87.329994	
0.001000	0.534270	0.399902	81.855995	87.549995	
0.001000	0.532996	0.409094	81.984001	87.239998	
0.001000	0.525349	0.412457	82.320000	87.229996	
0.001000	0.531148	0.412336	82.001999	87.299995	
0.001000	0.531309	0.412092	82.082001	87.119995	
0.001000	0.524515	0.407798	82.439995	87.239998	
0.001000	0.522968	0.405205	82.110001	87.320000	
0.001000	0.523698	0.409163	82.334000	87.349998	
0.001000	0.519080	0.422207	82.383995	87.049995	
0.001000	0.515021	0.405736	82.551994	87.079994	
0.001000	0.518941	0.415481	82.271996	87.189995	
0.001000	0.518702	0.413417	82.241997	87.079994	
0.001000	0.522707	0.421778	82.167999	87.239998	
0.001000	0.515997	0.412451	82.559998	87.579994	
0.001000	0.513798	0.407526	82.596001	87.360001	
0.001000	0.511157	0.418077	82.813995	87.169998	
0.001000	0.517994	0.417096	82.304001	87.239998	
0.001000	0.521480	0.408965	82.367996	87.470001	
0.001000	0.513691	0.417492	82.643997	87.239998	
0.001000	0.511137	0.408789	82.715996	87.489998	
0.001000	0.507349	0.414544	82.685997	87.470001	
0.000100	0.505960	0.414921	82.905998	87.449997	
0.000100	0.506725	0.405159	82.799995	87.419998	
0.000100	0.506702	0.399334	82.779999	87.529999	
0.000100	0.501016	0.413540	83.051994	87.379997	
0.000100	0.506254	0.402795	82.751999	87.540001	
0.000100	0.496096	0.412223	83.265999	87.610001	
0.000100	0.505122	0.410532	83.059998	87.400002	
0.000100	0.502243	0.404635	82.987999	87.529999	
0.000100	0.496475	0.413926	83.223999	87.489998	
0.000100	0.497194	0.413741	83.147995	87.379997	
0.000100	0.502067	0.410245	83.037994	87.470001	
0.000100	0.499487	0.406378	83.061996	87.449997	
0.000100	0.499825	0.417328	82.930000	87.369995	
0.000100	0.501210	0.418677	82.823997	87.540001	
0.000100	0.497315	0.412893	83.033997	87.430000	
0.000100	0.497888	0.414844	83.178001	87.439995	
0.000100	0.495688	0.414267	83.265999	87.589996	
0.000100	0.494361	0.416307	82.998001	87.279999	
0.000100	0.499890	0.415945	83.278000	87.459999	
0.000100	0.495929	0.418662	83.155998	87.349998	
