==>Arguments:
arch:alexnet
checkpoint:./checkpoints/
datapath:./data/
dataset:fmnist
epochs:150
evaluate:False
gamma:0.1
gpu_id:1
lr:0.1
momentum:0.9
resume:./checkpoints/
schedule:[50, 90, 130]
train_batchsize:64
val_batchsize:16
weight_decay:0.0001
==>Training log:
Learning Rate	Train Loss	Valid Loss	Train Acc	Valid Acc	
0.100000	1.600971	0.986963	38.784000	63.829998	
0.100000	1.283636	0.949103	53.271999	65.949997	
0.100000	1.219537	0.756184	56.056000	73.610001	
0.100000	1.192660	0.961114	57.459999	65.139999	
0.100000	1.180053	0.854625	57.730000	67.059998	
0.010000	0.921921	0.550978	65.874001	78.229996	
0.010000	0.861177	0.507550	68.003998	81.009995	
0.010000	0.819555	0.484816	69.409996	82.229996	
0.010000	0.808218	0.476332	69.750000	81.619995	
0.010000	0.788091	0.469035	70.664001	81.809998	
0.010000	0.771690	0.439828	71.124001	83.869995	
0.010000	0.765837	0.417665	71.806000	84.110001	
0.010000	0.752894	0.403258	72.355995	84.930000	
0.010000	0.745508	0.423033	72.505997	84.339996	
0.010000	0.732588	0.392965	73.096001	84.919998	
0.010000	0.727227	0.439906	73.521996	83.339996	
0.010000	0.722913	0.414447	73.360001	83.869995	
0.010000	0.724926	0.384310	73.341995	85.299995	
0.010000	0.711972	0.393122	73.848000	85.279999	
0.010000	0.710347	0.368934	73.779999	85.839996	
0.010000	0.707180	0.366912	74.061996	86.169998	
0.010000	0.697915	0.363282	74.236000	87.040001	
0.010000	0.696213	0.360582	74.652000	86.729996	
0.010000	0.690452	0.376501	74.521996	85.709999	
0.010000	0.681943	0.363163	74.877998	86.790001	
0.010000	0.682440	0.368509	74.995995	86.489998	
0.010000	0.684307	0.359174	74.795998	86.739998	
0.010000	0.673004	0.363476	75.276001	86.889999	
0.010000	0.672788	0.337954	75.108002	87.110001	
0.010000	0.670049	0.391934	75.236000	85.509995	
0.010000	0.666852	0.341809	75.276001	87.199997	
0.010000	0.665759	0.352216	75.556000	86.879997	
0.010000	0.664604	0.368299	75.348000	86.659996	
0.010000	0.665302	0.371706	75.594002	86.279999	
0.010000	0.665031	0.337686	75.801994	87.139999	
0.010000	0.657208	0.364852	75.921997	86.070000	
0.010000	0.663370	0.336604	75.666000	87.150002	
0.010000	0.658242	0.354543	75.820000	86.720001	
0.010000	0.656437	0.355459	75.804001	86.559998	
0.010000	0.658202	0.358816	75.823997	86.459999	
0.010000	0.648863	0.349825	76.077995	86.729996	
0.010000	0.651172	0.359416	76.189995	86.290001	
0.010000	0.646298	0.340703	76.271996	87.869995	
0.010000	0.651050	0.359596	76.173996	86.180000	
0.010000	0.653598	0.343583	75.883995	87.339996	
0.010000	0.645919	0.335454	76.227997	87.279999	
0.010000	0.639157	0.320433	76.451996	88.369995	
0.010000	0.645640	0.406160	76.367996	84.809998	
0.010000	0.641131	0.325300	76.519997	87.769997	
0.010000	0.643298	0.339357	76.411995	87.659996	
0.001000	0.577981	0.297960	78.647995	89.110001	
0.001000	0.568216	0.286517	79.189995	89.579994	
0.001000	0.560733	0.281677	79.237999	89.659996	
0.001000	0.552357	0.278285	79.799995	89.779999	
0.001000	0.554809	0.282050	79.573997	89.619995	
0.001000	0.554241	0.278633	79.639999	89.680000	
0.001000	0.548580	0.275649	79.751999	89.839996	
0.001000	0.545662	0.276253	80.070000	90.019997	
0.001000	0.548166	0.273930	79.736000	90.099998	
0.001000	0.540464	0.270106	79.917999	90.189995	
0.001000	0.541405	0.268540	80.007996	90.169998	
0.001000	0.540281	0.271016	80.087997	90.229996	
0.001000	0.538537	0.267267	80.234001	90.079994	
0.001000	0.540861	0.273334	80.014000	89.799995	
0.001000	0.540524	0.270494	80.237999	90.089996	
0.001000	0.538024	0.267417	80.194000	90.089996	
0.001000	0.540396	0.268709	80.071999	90.139999	
0.001000	0.534872	0.264931	80.358002	90.139999	
0.001000	0.534394	0.275436	80.521996	89.769997	
0.001000	0.533488	0.265301	80.419998	90.110001	
0.001000	0.534942	0.269844	80.311996	89.919998	
0.001000	0.529339	0.268105	80.491997	90.189995	
0.001000	0.531100	0.264027	80.575996	90.339996	
0.001000	0.532031	0.269755	80.542000	90.239998	
0.001000	0.533592	0.266436	80.391998	90.220001	
0.000100	0.523666	0.260548	80.804001	90.320000	
0.000100	0.524003	0.259606	80.795998	90.360001	
0.000100	0.516599	0.258594	81.085999	90.479996	
0.000100	0.518529	0.258985	80.759995	90.389999	
0.000100	0.515646	0.258611	81.049995	90.470001	
0.000100	0.513671	0.256877	81.139999	90.400002	
0.000100	0.512530	0.258238	81.157997	90.500000	
0.000100	0.517943	0.256654	81.147995	90.669998	
0.000100	0.511905	0.258292	81.208000	90.549995	
0.000100	0.515081	0.256614	81.063995	90.610001	
0.000100	0.525251	0.255773	80.717995	90.699997	
0.000100	0.519784	0.256175	80.877998	90.610001	
0.000100	0.515713	0.255972	81.079994	90.579994	
0.000100	0.512989	0.257629	81.211998	90.579994	
0.000100	0.519048	0.256487	80.947998	90.629997	
0.000100	0.516034	0.257151	81.103996	90.599998	
0.000100	0.513001	0.256106	81.113998	90.649994	
0.000100	0.508268	0.257615	81.339996	90.519997	
0.000100	0.513285	0.260531	81.117996	90.349998	
0.000100	0.511378	0.256034	81.183998	90.699997	
0.000100	0.511948	0.255974	81.159996	90.689995	
0.000100	0.511897	0.256046	81.089996	90.659996	
0.000100	0.510867	0.255454	81.283997	90.619995	
0.000100	0.512078	0.255341	81.201996	90.680000	
0.000100	0.511032	0.256500	81.372002	90.629997	
0.000100	0.507085	0.255462	81.279999	90.689995	
0.000100	0.509989	0.254717	81.281998	90.639999	
0.000100	0.511530	0.255534	81.271996	90.589996	
0.000100	0.511616	0.255843	81.447998	90.739998	
0.000100	0.509592	0.255068	81.610001	90.709999	
0.000100	0.507790	0.255927	81.458000	90.579994	
0.000100	0.511145	0.256008	81.127998	90.559998	
0.000100	0.511601	0.253645	81.085999	90.739998	
0.000100	0.509920	0.252810	81.257996	90.820000	
0.000100	0.512760	0.252555	81.098000	90.689995	
0.000100	0.513706	0.255951	81.096001	90.689995	
0.000100	0.507884	0.255267	81.369995	90.739998	
0.000100	0.505805	0.256668	81.388000	90.589996	
0.000100	0.508964	0.254889	81.206001	90.589996	
0.000100	0.508210	0.256999	81.369995	90.629997	
0.000100	0.509947	0.256896	81.453995	90.629997	
0.000100	0.504938	0.254479	81.351997	90.619995	
0.000100	0.511796	0.255404	81.157997	90.599998	
0.000100	0.507139	0.255507	81.447998	90.549995	
0.000100	0.508855	0.257039	81.461998	90.479996	
0.000100	0.509387	0.254377	81.096001	90.589996	
0.000100	0.509066	0.254901	81.318001	90.489998	
0.000100	0.506703	0.257685	81.215996	90.449997	
0.000100	0.505129	0.254286	81.540001	90.549995	
0.000100	0.505268	0.257248	81.439995	90.439995	
0.000100	0.509134	0.254877	81.159996	90.610001	
0.000100	0.507265	0.254475	81.267998	90.529999	
0.000100	0.511298	0.253468	81.185997	90.680000	
0.000100	0.501513	0.253458	81.678001	90.639999	
0.000100	0.510730	0.254691	81.181999	90.589996	
0.000100	0.509076	0.253772	81.365997	90.529999	
0.000100	0.503879	0.256216	81.393997	90.489998	
0.000100	0.506138	0.255276	81.501999	90.519997	
0.000100	0.501505	0.255298	81.535995	90.629997	
0.000100	0.504053	0.257250	81.557999	90.379997	
0.000100	0.509454	0.254871	81.470001	90.619995	
0.000100	0.504762	0.254497	81.519997	90.479996	
0.000100	0.504191	0.254211	81.633995	90.659996	
0.000100	0.505389	0.256045	81.407997	90.619995	
0.000100	0.505545	0.251489	81.519997	90.689995	
0.000100	0.500960	0.255018	81.557999	90.540001	
0.000100	0.504195	0.254349	81.622002	90.639999	
0.000100	0.505727	0.251893	81.416000	90.809998	
0.000100	0.502983	0.252576	81.573997	90.689995	
0.000100	0.508573	0.252475	81.348000	90.869995	
0.000100	0.505241	0.251950	81.473999	90.699997	
0.000100	0.505067	0.252225	81.339996	90.669998	
0.000100	0.500629	0.252814	81.589996	90.680000	
0.000100	0.502666	0.251655	81.653999	90.739998	
0.000100	0.507944	0.254391	81.231995	90.579994	
