==>Arguments:
arch:resnet
checkpoint:./checkpoints/
datapath:./data/
dataset:fmnist
epochs:90
evaluate:False
gamma:0.1
gpu_id:0
lr:0.1
momentum:0.9
resume:./checkpoints/
schedule:[50]
train_batchsize:64
val_batchsize:16
weight_decay:0.0001
==>Training log:
Learning Rate	Train Loss	Valid Loss	Train Acc	Valid Acc	
0.100000	1.166127	0.624905	58.703999	76.220001	
0.100000	0.884716	0.495785	67.393997	81.610001	
0.100000	0.823603	0.443290	69.773994	82.939995	
0.100000	0.781394	0.466147	71.325996	82.619995	
0.100000	0.748686	0.435252	72.369995	83.589996	
0.100000	0.729440	0.414411	72.945999	83.729996	
0.100000	0.715729	0.410999	73.306000	84.900002	
0.100000	0.692548	0.386675	74.330002	85.169998	
0.100000	0.694944	0.352587	74.259995	87.089996	
0.100000	0.682810	0.380051	74.801994	86.239998	
0.100000	0.673339	0.420310	74.963997	84.049995	
0.100000	0.663760	0.363146	75.430000	86.939995	
0.100000	0.660008	0.349432	75.459999	87.279999	
0.100000	0.654956	0.345674	75.708000	87.199997	
0.100000	0.654875	0.306533	75.723999	88.689995	
0.100000	0.641648	0.335964	76.236000	87.699997	
0.100000	0.643263	0.446455	76.297997	84.119995	
0.100000	0.639007	0.396369	76.237999	85.290001	
0.100000	0.639346	0.314288	76.255997	88.639999	
0.100000	0.632471	0.331835	76.414001	87.629997	
0.100000	0.637777	0.334572	76.498001	87.040001	
0.100000	0.626388	0.321099	76.713997	88.220001	
0.100000	0.622367	0.347986	76.942001	86.799995	
0.100000	0.624566	0.349765	77.061996	86.949997	
0.100000	0.620280	0.343586	76.858002	86.790001	
0.100000	0.628544	0.337610	76.787994	87.369995	
0.100000	0.618384	0.323393	76.863998	87.860001	
0.100000	0.618865	0.317870	76.921997	88.029999	
0.100000	0.610308	0.315296	77.431999	88.169998	
0.100000	0.610911	0.451963	77.245995	83.519997	
0.100000	0.616517	0.339083	77.119995	87.409996	
0.100000	0.613968	0.295098	77.367996	89.049995	
0.100000	0.603280	0.360324	77.523994	86.720001	
0.100000	0.610542	0.389568	77.273994	85.299995	
0.100000	0.604169	0.343400	77.435997	87.150002	
0.100000	0.607990	0.310271	77.477997	88.669998	
0.100000	0.612149	0.349966	77.049995	87.400002	
0.100000	0.606182	0.341239	77.557999	86.879997	
0.100000	0.602715	0.308106	77.862000	88.549995	
0.100000	0.607001	0.335487	77.701996	87.939995	
0.100000	0.600932	0.323452	77.694000	87.799995	
0.100000	0.602693	0.331413	77.633995	87.669998	
0.100000	0.600320	0.327254	77.844002	87.589996	
0.100000	0.603054	0.357803	77.764000	87.159996	
0.100000	0.598758	0.337231	77.703995	87.409996	
0.100000	0.601952	0.379931	77.619995	86.320000	
0.100000	0.596683	0.333991	77.750000	87.119995	
0.100000	0.595305	0.295523	77.965996	88.909996	
0.100000	0.596259	0.334484	77.972000	87.419998	
0.100000	0.602784	0.387417	77.837997	85.829994	
0.010000	0.511762	0.247672	80.975998	90.449997	
0.010000	0.488971	0.249532	81.759995	90.540001	
0.010000	0.484044	0.235202	82.019997	91.149994	
0.010000	0.469758	0.233709	82.519997	91.239998	
0.010000	0.468251	0.238618	82.512001	91.070000	
0.010000	0.461012	0.228591	82.680000	91.399994	
0.010000	0.463994	0.228224	82.739998	91.470001	
0.010000	0.460151	0.232828	82.981995	91.129997	
0.010000	0.454017	0.225354	83.049995	91.509995	
0.010000	0.452706	0.223854	83.181999	91.369995	
0.010000	0.452882	0.227238	83.040001	91.349998	
0.010000	0.458851	0.219447	82.823997	91.559998	
0.010000	0.443426	0.224810	83.281998	91.299995	
0.010000	0.448488	0.225822	83.313995	91.509995	
0.010000	0.444520	0.237010	83.417999	91.189995	
0.010000	0.445115	0.220034	83.357994	91.649994	
0.010000	0.446074	0.220842	83.251999	91.619995	
0.010000	0.441309	0.228806	83.515999	91.430000	
0.010000	0.441257	0.222680	83.479996	91.529999	
0.010000	0.440820	0.218840	83.519997	91.709999	
0.010000	0.442852	0.247260	83.416000	90.649994	
0.010000	0.440655	0.235361	83.507996	91.099998	
0.010000	0.441816	0.220690	83.565994	91.720001	
0.010000	0.437151	0.220040	83.667999	91.709999	
0.010000	0.430959	0.219647	83.811996	91.820000	
0.010000	0.432455	0.234151	83.893997	91.239998	
0.010000	0.431719	0.217328	83.769997	91.699997	
0.010000	0.437998	0.217084	83.517998	91.889999	
0.010000	0.434197	0.213759	83.877998	92.110001	
0.010000	0.431578	0.218602	83.967995	91.699997	
0.010000	0.437793	0.220388	83.627998	91.709999	
0.010000	0.429019	0.216747	83.881996	91.989998	
0.010000	0.430729	0.213779	84.019997	91.979996	
0.010000	0.431843	0.213151	83.832001	92.110001	
0.010000	0.434442	0.225774	83.687996	91.579994	
0.010000	0.427647	0.252721	84.003998	90.059998	
0.010000	0.430088	0.242603	83.883995	90.869995	
0.010000	0.428186	0.267106	83.921997	90.040001	
0.010000	0.430374	0.231776	83.958000	91.369995	
0.010000	0.431514	0.208216	83.729996	92.279999	
