==>Arguments:
arch:vgg
checkpoint:./checkpoints/
datapath:./data/
dataset:fmnist
epochs:90
evaluate:False
gamma:0.1
gpu_id:1
lr:0.1
momentum:0.9
resume:./checkpoints/
schedule:[50]
train_batchsize:64
val_batchsize:16
weight_decay:0.0001
==>Training log:
Learning Rate	Train Loss	Valid Loss	Train Acc	Valid Acc	
0.100000	1.632152	1.394486	39.757999	43.119999	
0.100000	1.164257	0.708128	58.402000	73.939995	
0.100000	1.003609	0.597067	64.570000	76.139999	
0.100000	0.927109	0.562308	67.180000	79.019997	
0.100000	0.882646	0.572300	68.961998	79.379997	
0.100000	0.838321	0.613629	70.599998	78.909996	
0.100000	0.824628	0.625486	71.220001	78.479996	
0.100000	0.795346	0.498503	72.414001	82.209999	
0.100000	0.779526	0.443771	73.143997	83.259995	
0.100000	0.756818	0.417755	73.799995	84.540001	
0.100000	0.741890	0.465493	74.099998	82.349998	
0.100000	0.730060	0.435602	74.762001	83.959999	
0.100000	0.718664	0.388851	75.012001	86.739998	
0.100000	0.702609	0.427261	75.745995	84.339996	
0.100000	0.699199	0.405223	75.911995	85.379997	
0.100000	0.694119	0.453818	75.869995	83.540001	
0.100000	0.689296	0.433954	76.141998	84.939995	
0.100000	0.692676	0.385763	75.973999	87.129997	
0.100000	0.675483	0.342891	76.650002	87.860001	
0.100000	0.669262	0.307430	76.931999	88.939995	
0.100000	0.665275	0.542198	76.881996	82.619995	
0.100000	0.666466	0.338605	76.995995	88.070000	
0.100000	0.658012	0.385681	77.197998	86.139999	
0.100000	0.662377	0.360032	77.023994	86.860001	
0.100000	0.655767	0.355545	77.290001	87.360001	
0.100000	0.646295	0.451430	77.561996	84.699997	
0.100000	0.646982	0.350681	77.643997	86.470001	
0.100000	0.642220	0.378260	77.750000	87.049995	
0.100000	0.651001	0.369554	77.477997	87.360001	
0.100000	0.642102	0.360513	77.928001	87.879997	
0.100000	0.637909	0.429150	78.253998	85.449997	
0.100000	0.637903	0.362121	78.042000	88.269997	
0.100000	0.633784	0.342534	78.091995	88.869995	
0.100000	0.635042	0.374612	78.015999	87.070000	
0.100000	0.629325	0.371433	78.299995	87.589996	
0.100000	0.626719	0.360613	78.264000	86.839996	
0.100000	0.619453	0.343727	78.659996	88.099998	
0.100000	0.622417	0.337835	78.641998	88.470001	
0.100000	0.623718	0.359488	78.484001	88.409996	
0.100000	0.630787	0.296206	78.301994	90.099998	
0.100000	0.619584	0.313862	78.561996	89.089996	
0.100000	0.605736	0.370505	79.087997	87.739998	
0.100000	0.620413	0.268965	78.599998	90.619995	
0.100000	0.606852	0.420519	78.970001	85.150002	
0.100000	0.610821	0.301622	78.844002	88.650002	
0.100000	0.609797	0.277223	78.748001	90.409996	
0.100000	0.605896	0.393603	78.970001	86.570000	
0.100000	0.609588	0.337168	79.056000	88.509995	
0.100000	0.605572	0.328462	79.264000	88.479996	
0.100000	0.601962	0.340073	79.108002	87.529999	
0.010000	0.485337	0.216165	82.806000	92.290001	
0.010000	0.456072	0.213767	83.669998	92.309998	
0.010000	0.445013	0.212385	83.973999	92.459999	
0.010000	0.436781	0.211209	84.365997	92.269997	
0.010000	0.433679	0.206692	84.403999	92.759995	
0.010000	0.422049	0.207416	84.617996	92.459999	
0.010000	0.420949	0.204605	84.860001	92.589996	
0.010000	0.419195	0.202367	85.096001	92.470001	
0.010000	0.417223	0.198529	85.079994	92.769997	
0.010000	0.414207	0.206944	85.133995	92.369995	
0.010000	0.409355	0.210896	85.430000	92.040001	
0.010000	0.406951	0.200842	85.222000	92.540001	
0.010000	0.404308	0.203057	85.549995	92.540001	
0.010000	0.399124	0.191623	85.573997	92.839996	
0.010000	0.399631	0.194595	85.563995	92.919998	
0.010000	0.394337	0.194962	85.692001	92.729996	
0.010000	0.397328	0.193005	85.795998	92.839996	
0.010000	0.396772	0.193781	85.793999	92.570000	
0.010000	0.399490	0.195156	85.444000	92.869995	
0.010000	0.392495	0.192425	85.751999	92.849998	
0.010000	0.386535	0.190610	86.051994	92.869995	
0.010000	0.386399	0.196464	86.152000	92.720001	
0.010000	0.384008	0.191509	86.107994	92.989998	
0.010000	0.389853	0.190424	86.056000	92.939995	
0.010000	0.382527	0.190439	86.276001	93.199997	
0.010000	0.377132	0.192371	86.523994	92.899994	
0.010000	0.378696	0.195462	86.031998	92.809998	
0.010000	0.383021	0.190238	86.075996	93.169998	
0.010000	0.380254	0.190558	86.301994	92.959999	
0.010000	0.376304	0.191278	86.479996	93.019997	
0.010000	0.379094	0.185046	86.348000	93.320000	
0.010000	0.376050	0.197938	86.395996	92.709999	
0.010000	0.371091	0.205075	86.617996	92.419998	
0.010000	0.375700	0.181495	86.612000	93.519997	
0.010000	0.371937	0.181309	86.493996	93.559998	
0.010000	0.374524	0.195311	86.470001	93.000000	
0.010000	0.371951	0.191425	86.601997	93.049995	
0.010000	0.374352	0.192750	86.526001	93.000000	
0.010000	0.373286	0.185819	86.397995	93.299995	
0.010000	0.375537	0.193333	86.470001	92.949997	
